Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, ENBLE",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,1,BH-18650-B1BA002,C2988620
"C1, C10, C3, C4, C8",0201,5,100nF,
C2,0805,1,10uF,
"C5, C6",0201,2,4.7uF,
C7,0201,1,22uF,
C9,0201,1,1uF,
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
H1,HDR-TH_6P-P2.54-V-M,1,PZ254V-11-06P,C492405
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
Q1,SOT-25_L3.0-W1.6-P0.95-LS2.8-TL,1,XC6220B331MR-G,C86534
Q2,SOT-23,1,AO3401A,
"R1, R2, R6",0201,3,10k,
R3,0603,1,1M,
R4,0603,1,330k,
R5,0603,1,100k,
"R7, R8",0201,2,5.1k,
U1,WIRELM-SMD_ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U,C9900027631
U2,WIRELM-SMD_E22-900M22S,1,E22-900M22S,C411293
U3,LGA-8_L3.0-W3.0-P0.80_BME688,1,BME688_C3664478,C3664478
